Russell M. Nelson,sunday-morning,2022,4,3,6,The Power of Spiritual Momentum,/general-conference/2022/04/47nelson,https://media2.ldscdn.org/assets/general-conference/april-2022-general-conference/2022-04-4070-russell-m-nelson-32k-eng.mp3
Dallin H. Oaks,sunday-afternoon,2022,4,4,0,Divine Love in the Father’s Plan,/general-conference/2022/04/51oaks,https://media2.ldscdn.org/assets/general-conference/april-2022-general-conference/2022-04-5010-dallin-h-oaks-32k-eng.mp3
Adeyinka A. Ojediran,sunday-afternoon,2022,4,4,1,The Covenant Path: The Way to Eternal Life,/general-conference/2022/04/52ojediran,https://media2.ldscdn.org/assets/general-conference/april-2022-general-conference/2022-04-5020-adeyinka-a-ojediran-32k-eng.mp3
Jörg Klebingat,sunday-afternoon,2022,4,4,2,Valiant Discipleship in the Latter Days,/general-conference/2022/04/53klebingat,https://media2.ldscdn.org/assets/general-conference/april-2022-general-conference/2022-04-5030-jrg-klebingat-32k-eng.mp3
Mark L. Pace,sunday-afternoon,2022,4,4,3,Conversion Is Our Goal,/general-conference/2022/04/54pace,https://media2.ldscdn.org/assets/general-conference/april-2022-general-conference/2022-04-5040-mark-l-pace-32k-eng.mp3
Ulisses Soares,sunday-afternoon,2022,4,4,4,In Awe of Christ and His Gospel,/general-conference/2022/04/55soares,https://media2.ldscdn.org/assets/general-conference/april-2022-general-conference/2022-04-5050-ulisses-soares-32k-eng.mp3
Randy D. Funk,sunday-afternoon,2022,4,4,5,Come into the Fold of God,/general-conference/2022/04/56funk,https://media2.ldscdn.org/assets/general-conference/april-2022-general-conference/2022-04-5060-randy-d-funk-32k-eng.mp3
Dieter F. Uchtdorf,sunday-afternoon,2022,4,4,6,Our Heartfelt All,/general-conference/2022/04/57uchtdorf,https://media2.ldscdn.org/assets/general-conference/april-2022-general-conference/2022-04-5070-dieter-f-uchtdorf-32k-eng.mp3
Russell M. Nelson,sunday-afternoon,2022,4,4,7,Now Is the Time,/general-conference/2022/04/58nelson,https://media2.ldscdn.org/assets/general-conference/april-2022-general-conference/2022-04-5080-russell-m-nelson-32k-eng.mp3
Russell M. Nelson,saturday-morning,2021,10,0,0,"Pure Truth, Pure Doctrine, and Pure Revelation",/general-conference/2021/10/11nelson,https://media2.ldscdn.org/assets/general-conference/october-2021-general-conference/2021-10-1010-russell-m-nelson-32k-eng.mp3
Jeffrey R. Holland,saturday-morning,2021,10,0,1,The Greatest Possession,/general-conference/2021/10/12holland,https://media2.ldscdn.org/assets/general-conference/october-2021-general-conference/2021-10-1020-jeffrey-r-holland-32k-eng.mp3
Bonnie H. Cordon,saturday-morning,2021,10,0,2,Come unto Christ and Don’t Come Alone,/general-conference/2021/10/13cordon,https://media2.ldscdn.org/assets/general-conference/october-2021-general-conference/2021-10-1030-bonnie-h-cordon-32k-eng.mp3
Ulisses Soares,saturday-morning,2021,10,0,3,The Savior’s Abiding Compassion,/general-conference/2021/10/14soares,https://media2.ldscdn.org/assets/general-conference/october-2021-general-conference/2021-10-1040-ulisses-soares-32k-eng.mp3
D. Todd Christofferson,saturday-morning,2021,10,0,4,The Love of God,/general-conference/2021/10/15christofferson,https://media2.ldscdn.org/assets/general-conference/october-2021-general-conference/2021-10-1050-d-todd-christofferson-32k-eng.mp3
Clark G. Gilbert,saturday-morning,2021,10,0,5,Becoming More in Christ: The Parable of the Slope,/general-conference/2021/10/16gilbert,https://media2.ldscdn.org/assets/general-conference/october-2021-general-conference/2021-10-1060-clark-g-gilbert-32k-eng.mp3
Patricio M. Giuffra,saturday-morning,2021,10,0,6,A Faithful Search Rewarded,/general-conference/2021/10/17giuffra,https://media2.ldscdn.org/assets/general-conference/october-2021-general-conference/2021-10-1070-patricio-m-giuffra-32k-eng.mp3
Dallin H. Oaks,saturday-morning,2021,10,0,7,The Need for a Church,/general-conference/2021/10/18oaks,https://media2.ldscdn.org/assets/general-conference/october-2021-general-conference/2021-10-1080-dallin-h-oaks-32k-eng.mp3
David A. Bednar,saturday-afternoon,2021,10,1,1,With the Power of God in Great Glory,/general-conference/2021/10/22bednar,https://media2.ldscdn.org/assets/general-conference/october-2021-general-conference/2021-10-2020-david-a-bednar-32k-eng.mp3
Ciro Schmeil,saturday-afternoon,2021,10,1,2,Faith to Act and Become,/general-conference/2021/10/23schmeil,https://media2.ldscdn.org/assets/general-conference/october-2021-general-conference/2021-10-2030-ciro-schmeil-32k-eng.mp3
Susan H. Porter,saturday-afternoon,2021,10,1,3,God’s Love: The Most Joyous to the Soul,/general-conference/2021/10/24porter,https://media2.ldscdn.org/assets/general-conference/october-2021-general-conference/2021-10-2040-susan-h-porter-32k-eng.mp3
Erich W. Kopischke,saturday-afternoon,2021,10,1,4,Addressing Mental Health,/general-conference/2021/10/25kopischke,https://media2.ldscdn.org/assets/general-conference/october-2021-general-conference/2021-10-2050-erich-w-kopischke-32k-eng.mp3
Ronald A. Rasband,saturday-afternoon,2021,10,1,5,The Things of My Soul,/general-conference/2021/10/26rasband,https://media2.ldscdn.org/assets/general-conference/october-2021-general-conference/2021-10-2060-ronald-a-rasband-32k-eng.mp3
Christoffel Golden,saturday-afternoon,2021,10,1,6,Preparing for the Second Coming of Christ,/general-conference/2021/10/27golden,https://media2.ldscdn.org/assets/general-conference/october-2021-general-conference/2021-10-2070-christoffel-golden-32k-eng.mp3
